(0, 0.4145945947127299)
(1, 0.3506306305339745)
(2, 0.3573873874410853)
(3, 0.35882882890400586)
(4, 0.35171171182984706)
(5, 0.34927927933297714)
(6, 0.34990990992064946)
(7, 0.3455855856822418)
(8, 0.3479279279816258)
(9, 0.3553153153904923)
(10, 0.34594594594594597)
(11, 0.34828828829902786)
(12, 0.34720720719646764)
(13, 0.3452252251500482)
(14, 0.3536036035713849)
(15, 0.34738738744108527)
(16, 0.3424324325398282)
(17, 0.34540540548058246)
(18, 0.3532432432969411)
(19, 0.34522522534336053)
(20, 0.3665765765013995)
(21, 0.3737837837730442)
(22, 0.37837837827098264)
(23, 0.39576576573354705)
(24, 0.4036936935970375)
(25, 0.3838738739275718)
(26, 0.40864864869160694)
(27, 0.40297297306962915)
(28, 0.4120720721579887)
(29, 0.40054054050832183)
(30, 0.3963963964500943)
(31, 0.3994594594057616)
(32, 0.39486486478968785)
(33, 0.3976576576254389)
(34, 0.3836036036143432)
(35, 0.3814414413662644)
(36, 0.3854954954417976)
(37, 0.38126126127200083)
(38, 0.39612612621204274)
(39, 0.3852252252789231)
(40, 0.36621621609808086)
(41, 0.3799999999677813)
(42, 0.3807207208281165)
(43, 0.391441441452181)
(44, 0.38342342336972557)
